patch,agent,pre_patch_matches,post_patch_matches,old_delta,blops_delta,model_a_error,model_b_error,model_c_error
12.09,Sage,11,9,0.0,0.0,27.346852984404748,27.33045088797602,27.33045088797602
12.09,Reyna,0,6,0.0,0.0,39.887395830495954,39.73260154718968,39.73260154718968
12.09,Clove,2,4,0.0,0.0,58.581064146431075,58.321588177304,58.321588177304
12.09,Yoru,2,4,0.0,0.0,74.70994123919456,74.70994123919456,74.70994123919456
12.09,Veto,2,1,0.0,0.0,12.862929486291307,12.92682843740846,12.92682843740846
12.10,Chamber,36,10,0.0,0.0,25.723932384484556,25.826967189796996,25.826967189796996
12.10,Viper,109,33,0.0,0.0,23.955905728171093,23.904848421108454,23.909398191651228
12.10,Raze,77,24,0.0,0.0,51.127823306677676,51.10919793312845,51.109197933302994
12.10,Fade,104,32,0.0,0.0,26.948349308880026,26.858083844367297,26.858083844367297
12.10,Omen,188,51,0.0,0.0,35.416031412038656,35.3565899052632,35.3565899055158
12.10,Vyse,72,18,0.0,0.0,32.47235338809054,32.42037984533003,32.42037984533003
12.10,Astra,64,12,0.0,0.0,30.337165961557073,30.462644114877474,30.462644114877474
12.10,Skye,37,11,0.0,0.0,29.624651252947118,29.507771773949376,29.492329939434224
12.10,Jett,126,44,0.0,0.0,35.09987254819931,35.2053217359574,35.205321735916456
12.10,Harbor,31,15,0.0,0.0,19.392223806642626,19.54247739683239,19.54247739683239
12.10,Iso,8,1,0.0,0.0,71.27221102021483,71.27221102021483,71.27221102021483
12.10,Sova,133,45,0.0,0.0,27.28083722214393,27.26587047503029,27.265870475028127
12.10,Kayo,28,10,0.0,0.0,29.196131751678298,29.082251706790146,29.082251706790146
12.10,Neon,73,33,0.0,0.0,37.11814763852748,37.136728906238325,37.45504764336499
12.10,Brimstone,18,11,0.0,0.0,37.753894951874074,37.789600609556025,37.789600609556025
12.10,Cypher,75,41,0.0,0.0,30.258171265647405,30.306272009038462,30.306272009038462
12.10,Breach,12,8,0.0,0.0,38.87793133844827,38.81271002973892,38.81271002973892
12.10,Phoenix,88,36,0.0,0.0,26.735352446287916,26.749929986900504,26.749929986900504
12.10,Tejo,15,4,0.0,0.0,12.835181780203541,12.716699663153477,12.716699663153477
12.10,Waylay,49,15,0.0,0.0,32.77938376463594,32.72233535486849,32.72248482465431
12.10,Reyna,6,1,0.0,0.0,47.90523160968377,48.66537460487925,48.66537460487925
12.10,Sage,9,7,0.0,0.0,19.546550182509204,19.225934944276567,19.225934944276567
12.10,Deadlock,9,4,0.0,0.0,24.201383708364965,24.263863538855603,24.263863538855603
